display_date,start_date,end_date,display_notes,admin_notes,url,youtube_playlist,diglib_collection_node,program_node,program_viewer
April 2009,2009-04-23,2009-04-25,,,https://www.amphilsoc.org/members/meetings/april-2009,,316060,528598,IIIF
November 2009,2009-11-12,2009-11-14,,,https://www.amphilsoc.org/members/meetings/november-2009,,316075,528599,IIIF
April 2010,2010-04-22,2010-04-24,,,https://www.amphilsoc.org/members/meetings/april-2010,,316077,,
November 2010,2010-11-11,2010-11-13,,,https://www.amphilsoc.org/members/meetings/november-2010,,316062,,
April 2011,2011-04-28,2011-04-30,,,https://www.amphilsoc.org/members/meetings/april-2011,,316061,535654,PDF
November 2011,2011-11-17,2011-11-19,Dedicated to the Memory of Baruch S. Blumberg,,https://www.amphilsoc.org/members/meetings/november-2011,,316057,535656,PDF
April 2012,2012-04-19,2012-04-21,"Talks on Friday, April 20 Offered in Celebration and Appreciation of Mary Patterson McPherson, Executive Officer (2007-2012)",,https://www.amphilsoc.org/members/meetings/april-2012,,316063,,
November 2012,2012-11-08,2012-11-10,,,https://www.amphilsoc.org/members/meetings/november-2012,,316069,,
April 2013,2013-04-25,2013-04-27,,,https://www.amphilsoc.org/members/meetings/april-2013,,316076,535657,PDF
November 2013,2013-11-14,2013-11-16,,,https://www.amphilsoc.org/members/meetings/november-2013,,316072,535658,PDF
April 2014,2014-04-24,2014-04-26,,,https://www.amphilsoc.org/members/meetings/april-2014,,316065,535659,PDF
November 2014,2014-11-06,2014-11-08,,,https://www.amphilsoc.org/members/meetings/november-2014,,316064,535660,PDF
April 2015,2015-04-23,2015-04-25,,Missing first day of talks,https://www.amphilsoc.org/members/meetings/april-2015,,316048,535661,PDF
November 2015,2015-11-12,2015-11-14,,,https://www.amphilsoc.org/members/meetings/november-2015,,316058,535662,PDF
April 2016,2016-04-28,2016-04-30,,Many missing videos,https://www.amphilsoc.org/members/meetings/april-2016,,316074,,
November 2016,2016-11-10,2016-11-12,,,https://www.amphilsoc.org/members/meetings/november-2016,https://www.youtube.com/watch?v=uTrLQOOv0O8&list=PLoKwLGnyZL4BuhuA-3NzBrlWc2wP8q0UG,316055,535663,PDF
April 2017,2017-04-27,2017-04-29,,,https://www.amphilsoc.org/members/meetings/april-2017,,316056,,
November 2017,2017-11-09,2017-11-11,,,https://www.amphilsoc.org/members/meetings/november-2017,https://www.youtube.com/watch?v=svSk1njw0i0&list=PLoKwLGnyZL4BhNizacl3c7B8AoNTDT4WJ,316054,535664,PDF
April 2018,2018-04-26,2018-04-28,,,https://www.amphilsoc.org/members/meetings/april-2018,,316049,535665,PDF
November 2018,2018-11-08,2018-11-10,,,https://www.amphilsoc.org/members/meetings/november-2018,https://www.youtube.com/watch?v=WNYqEamqT4Q&list=PLoKwLGnyZL4DrbmF5SPmjYrZ5YyBVdYu0,316078,535666,PDF
April 2019,2019-04-25,2019-04-27,,,https://www.amphilsoc.org/members/meetings/april-2019,https://www.youtube.com/watch?v=oTprxsO9w0I&list=PLoKwLGnyZL4BNQA-uZAiaTvzhfiD4Opo_,316050,535667,PDF
November 2019,2019-11-07,2019-11-09,,,https://www.amphilsoc.org/members/meetings/november-2019,,316052,535668,PDF
April 2020,2020-04-23,2020-04-25,The April 2020 Meeting of the American Philosophical Society was not held in person. This program as originally planned was canceled due to the COVID-19 pandemic. Members met via web conference only for essential committee and business planning.,,https://www.amphilsoc.org/members/meetings/april-2020,,535669,535670,PDF
November 2020,2020-11-11,2020-11-13,The November 2020 Meeting of the American Philosophical Society was not held in person. All talks were held via Zoom webinar.,YouTube,https://www.amphilsoc.org/members/meetings/november-2020,https://www.youtube.com/watch?v=49ip-Xa0U58&list=PLoKwLGnyZL4ANb-6o2oasWjr_uDjXRkva,535671,535672,PDF
April 2021,2021-04-21,2021-04-23,The April 2021 Meeting of the American Philosophical Society was not held in person. All talks were held via Zoom webinar.,,https://www.amphilsoc.org/members/meetings/april-2021,https://www.youtube.com/watch?v=WO8eNDLDDrQ&list=PLoKwLGnyZL4Cc8346Ix89c3oBjg--MwmD,535673,535674,PDF
November 2021,2021-11-10,2021-11-12,The November 2021 Meeting of the American Philosophical Society was not be held in person. All talks were held via Zoom webinar.,,https://www.amphilsoc.org/members/meetings/november-2021,https://www.youtube.com/watch?v=Xq5Pe9f8o0k&list=PLoKwLGnyZL4AP36Mk9LtavWQQdyVfs9Q-,535675,535676,PDF
April 2022,2022-04-27,2022-04-29,The April 2022 Meeting of the American Philosophical Society was not held in person. All talks were held via Zoom webinar.,,https://www.amphilsoc.org/members/meetings/april-2022,https://www.youtube.com/watch?v=izfAQ5UwGds&list=PLoKwLGnyZL4AETXKIpRUgrl9BMsgK84nV,535677,535678,PDF
November 2022,2022-11-17,2022-11-19,,,https://www.amphilsoc.org/members/meetings/november-2022,https://www.youtube.com/watch?v=DTc4NrgUGG0&list=PLoKwLGnyZL4DmJDdA3-CRY76vPQK3YVos,535679,535680,PDF
April 2023,2023-04-27,2023-04-29,,,https://www.amphilsoc.org/members/meetings/april-2023,https://www.youtube.com/watch?v=WrAabA9U6Ms&list=PLoKwLGnyZL4B9jyLDBLf5ObCiNKDuC4hg,535681,535682,PDF
November 2023,2023-11-16,2023-11-18,,,https://www.amphilsoc.org/members/meetings/november-2023,https://www.youtube.com/watch?v=43HiO5DdoE4&list=PLoKwLGnyZL4CaJK873wLvAs_nxQZgNOwQ,535683,535684,PDF
April 2024,2024-04-25,2024-04-27,,,https://www.amphilsoc.org/members/meetings/april-2024,https://www.youtube.com/watch?v=G9lhyqytTjU&list=PLoKwLGnyZL4Cd27HAgZKp1AMQ6uZAg_r4,535685,535686,PDF
November 2024,2024-11-14,2024-11-16,,YouTube with good summaries,https://www.amphilsoc.org/members/meetings/november-2024,https://www.youtube.com/watch?v=Bw0EiZ3mR6k&list=PLoKwLGnyZL4BkEgjizLy3ocBdqwJBXOP4,535687,535688,PDF
April 2025,2025-04-23,2025-04-25,,On YouTube but not linked on website program,https://www.amphilsoc.org/members/meetings/april-2025,https://www.youtube.com/watch?v=cSS66v_fVRE&list=PLoKwLGnyZL4DFRpB4l67tZ1AbGNDTldRY,535689,535690,PDF
